Seed_num,epsilon,SP_maj,SP_min,SPD,EO_maj,EO_min,EOD,CSP_X0_maj,CSP_X0_min,CSD_X0,CSP_X1_maj,CSP_X1_min,CSD_X1
0,50,0.31262939958592134,0.06571428571428571,0.24691511387163562,0.6594594594594595,0.32038834951456313,0.33907110994489637,0.32047477744807124,0.11081081081081082,0.20966396663726042,0.2945205479452055,0.015151515151515152,0.27936903279369035
1,50,0.31512605042016806,0.05374823196605375,0.2613778184541143,0.6483516483516484,0.27358490566037735,0.374766742691271,0.3231707317073171,0.09615384615384616,0.22701688555347094,0.2972972972972973,0.008746355685131196,0.2885509416121661
2,50,0.2330508474576271,0.06610407876230662,0.1669467686953205,0.5056179775280899,0.33636363636363636,0.16925434116445354,0.3249211356466877,0.12207792207792208,0.2028432135687656,0.04516129032258064,0.0,0.04516129032258064
3,50,0.2125506072874494,0.040638606676342524,0.17191200061110687,0.4635416666666667,0.2604166666666667,0.203125,0.2878338278931751,0.07734806629834254,0.21048576159483254,0.050955414012738856,0.0,0.050955414012738856
4,50,0.3,0.05689900426742532,0.24310099573257465,0.6271186440677966,0.2882882882882883,0.3388303557795083,0.3205882352941177,0.11299435028248588,0.20759388501163178,0.25,0.0,0.25
5,50,0.30833333333333335,0.06401137980085349,0.24432195353247987,0.6089385474860335,0.29357798165137616,0.3153605658346573,0.297029702970297,0.12032085561497326,0.17670884735532377,0.327683615819209,0.0,0.327683615819209
6,50,0.29957805907172996,0.06205923836389281,0.23751882070783714,0.5862068965517241,0.30701754385964913,0.27918935269207495,0.28343949044585987,0.10610079575596817,0.1773386946898917,0.33125,0.012048192771084338,0.31920180722891567
7,50,0.31568228105906315,0.06647398843930635,0.2492082926197568,0.6477272727272727,0.3125,0.3352272727272727,0.30538922155688625,0.12568306010928962,0.17970616144759663,0.3375796178343949,0.0,0.3375796178343949
8,50,0.3006134969325153,0.0792507204610951,0.22136277647142022,0.6075268817204301,0.3235294117647059,0.2839974699557242,0.31343283582089554,0.12,0.19343283582089554,0.2727272727272727,0.03134796238244514,0.24137931034482757
9,50,0.21304347826086956,0.07192254495159059,0.14112093330927897,0.47191011235955055,0.3181818181818182,0.15372829417773237,0.2797427652733119,0.12044817927170869,0.15929458600160318,0.0738255033557047,0.02459016393442623,0.04923533942127847
10,50,0.29764453961456105,0.05726256983240224,0.2403819697821588,0.631578947368421,0.27350427350427353,0.3580746738641475,0.31329113924050633,0.11388888888888889,0.19940225035161746,0.26490066225165565,0.0,0.26490066225165565
11,50,0.2778993435448578,0.06060606060606061,0.21729328293879718,0.5976331360946746,0.2857142857142857,0.3119188503803889,0.27741935483870966,0.11083123425692695,0.1665881205817827,0.2789115646258503,0.0,0.2789115646258503
12,50,0.319755600814664,0.06791907514450866,0.2518365256701553,0.6559139784946236,0.3235294117647059,0.33238456672991773,0.3312302839116719,0.12084592145015106,0.21038436246152087,0.2988505747126437,0.019390581717451522,0.2794599929951922
13,50,0.29065040650406504,0.053545586107091175,0.23710482039697386,0.6174863387978142,0.2857142857142857,0.33177205308352853,0.3151515151515151,0.10109289617486339,0.21405861897665174,0.24074074074074073,0.0,0.24074074074074073
14,50,0.2980392156862745,0.07726597325408618,0.22077324243218832,0.6288659793814433,0.30851063829787234,0.32035534108357094,0.3170028818443804,0.11944444444444445,0.19755843739993595,0.25766871165644173,0.02875399361022364,0.2289147180462181
15,50,0.3215767634854772,0.06847360912981455,0.25310315435566266,0.6428571428571429,0.27358490566037735,0.36927223719676555,0.3323442136498516,0.11357340720221606,0.21877080644763555,0.296551724137931,0.020588235294117647,0.2759634888438134
16,50,0.3083511777301927,0.05446927374301676,0.25388190398717597,0.6342857142857142,0.26548672566371684,0.3687989886219974,0.3501577287066246,0.10893854748603352,0.24121918122059108,0.22,0.0,0.22
17,50,0.30952380952380953,0.0638002773925104,0.24572353213129913,0.6494252873563219,0.3333333333333333,0.31609195402298856,0.3333333333333333,0.10789473684210527,0.22543859649122805,0.26143790849673204,0.01466275659824047,0.24677515189849158
18,50,0.19246861924686193,0.062411347517730496,0.13005727172913142,0.45614035087719296,0.3076923076923077,0.14844804318488525,0.2733333333333333,0.12359550561797752,0.1497378277153558,0.056179775280898875,0.0,0.056179775280898875
19,50,0.2247191011235955,0.07452574525745258,0.1501933558661429,0.5117647058823529,0.3220338983050847,0.18973080757726818,0.3016949152542373,0.13421052631578947,0.16748438893844783,0.07333333333333333,0.0111731843575419,0.06216014897579143
0,16,0.31262939958592134,0.06571428571428571,0.24691511387163562,0.6594594594594595,0.32038834951456313,0.33907110994489637,0.32047477744807124,0.11081081081081082,0.20966396663726042,0.2945205479452055,0.015151515151515152,0.27936903279369035
